date,channel,campaign_name,spend,impressions,clicks,conversions,revenue
2025-08-01,Google Ads,Search_Q3,13243.56,241621,5953,225,37241.38
2025-08-01,Google Ads,Search_Q4,10183.92,89874,2455,93,39881.71
2025-08-01,Google Ads,Display_Retargeting,8288.18,244884,6525,172,23734.45
2025-08-01,Google Ads,Shopping_Campaign,10567.66,131721,2699,88,32574.37
2025-08-01,Meta Ads,Retargeting_Aug,13342.23,116503,2180,60,41522.89
2025-08-01,Meta Ads,Prospecting_Q3,15422.11,127938,3048,103,35361.37
2025-08-01,Meta Ads,Engagement_Campaign,13290.54,122399,1651,72,54906.73
2025-08-01,Meta Ads,Conversion_Ads,15700.77,147876,2106,76,48363.16
2025-08-01,Instagram,Influencer_Collab,6342.42,233890,3709,139,15639.16
2025-08-01,Instagram,Story_Ads,12287.75,191693,5367,153,28664.1
2025-08-01,Instagram,Reels_Promotion,15665.43,298280,11480,429,48190.31
2025-08-01,Instagram,Feed_Campaign,15140.62,140353,2792,45,39147.51
2025-08-01,LinkedIn,B2B_Campaign,4976.59,32396,635,23,17709.31
2025-08-01,LinkedIn,Thought_Leadership,5839.1,26918,517,14,31908.32
2025-08-01,LinkedIn,Lead_Gen_Q3,7124.57,29346,237,12,33546.14
2025-08-01,LinkedIn,Lead_Gen_Q4,6882.44,53393,482,18,21423.98
2025-08-01,Email,Newsletter_Promo,3561.93,89863,4182,183,23467.56
2025-08-01,Email,Welcome_Series,1840.59,98368,6086,567,13165.28
2025-08-01,Email,Cart_Abandonment,1182.7,97059,6603,486,9696.23
2025-08-01,Email,Re_engagement,2380.15,81818,4203,174,13989.62
2025-08-01,SEO,Content_Marketing,1672.86,132733,3515,176,12005.25
2025-08-01,SEO,Link_Building,2871.11,103349,3968,155,12258.0
2025-08-01,SEO,Technical_SEO,3093.63,70958,3058,190,19232.83
2025-08-01,SEO,Local_SEO,6293.03,154477,3558,233,37051.46
2025-08-01,Influencer,Micro_Influencers,24148.8,418827,6852,99,58329.61
2025-08-01,Influencer,Macro_Influencers,16542.16,395404,10760,130,52587.82
2025-08-01,Influencer,Brand_Ambassadors,16348.22,216632,2685,53,71047.01
2025-08-01,Influencer,UGC_Campaign,14464.06,305637,7353,149,63986.28
2025-08-02,Google Ads,Search_Q3,12884.56,73681,1469,42,39551.49
